model,scenario,region,variable,unit,subannual,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,9,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,1,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,10,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,11,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,12,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,2,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,3,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,4,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,5,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,6,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,7,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,8,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,9,,,,,,,,,,,,,2.6759999999999998e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,1,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,10,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,11,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,12,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,2,,,,,,,,,,,,,0.0,1.500000000000001e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,3,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,4,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,5,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,6,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,7,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,8,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,9,,,,,,,,,,,,,0.0,1.8000000000000014e-06,2.400000000000002e-06,3.000000000000002e-06,3.600000000000003e-06
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,1,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,10,,,,,,,,,,,,,0.00114,0.0022199999999999998,0.0031200000000000004,0.00411,0.0051600000000000005
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,11,,,,,,,,,,,,,0.00114,0.00219,0.00309,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,12,,,,,,,,,,,,,0.00114,0.00219,0.00309,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,2,,,,,,,,,,,,,0.0011099999999999999,0.00216,0.00309,0.00408,0.0051
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,3,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,4,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,5,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,6,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,7,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,8,,,,,,,,,,,,,0.00114,0.00219,0.0031200000000000004,0.00411,0.00513
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water,,9,,,,,,,,,,,,,0.00114,0.0022199999999999998,0.0031200000000000004,0.00411,0.0051600000000000005
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,1,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,10,,,,,,,,,,,,,0.00025110000000000003,0.0004158,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,11,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,12,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,2,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,3,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,4,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,5,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,6,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,7,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,8,,,,,,,,,,,,,0.00025110000000000003,0.0003861,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Rural Eff,,9,,,,,,,,,,,,,0.00025110000000000003,0.0004158,0.0006237,0.0008613,0.0010988999999999999
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,1,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,10,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.004009500000000001
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,11,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024354,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,12,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024354,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,2,,,,,,,,,,,,,0.00036035999999999994,0.0017523,0.0024354,0.0031779,0.003950100000000001
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,3,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,4,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,5,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,6,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,7,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,8,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.0039798
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Connected|Urban Eff,,9,,,,,,,,,,,,,0.00037674000000000003,0.001782,0.0024651000000000005,0.0032075999999999997,0.004009500000000001
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,1,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,10,,,,,,,,,,,,,0.00019889999999999998,4.200000000000004e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,11,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,12,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,2,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,3,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,4,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,5,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,6,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,7,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,8,,,,,,,,,,,,,0.00019889999999999998,3.900000000000003e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
